var_0;var_1;var_2;var_3;var_4;var_5;var_6;var_7;var_8;var_9;var_10;var_11;var_12;var_13;var_14;var_15;var_16;var_17;var_18;var_19;var_20;var_21;var_22;var_23;var_24;var_25;var_26;var_27;var_28;var_29;var_30;var_31;var_32;var_33;var_34;var_35
Concludente/Egresso;Mossoró - Diurno;2019.1;20212;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;CE;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 2501 e 3000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Ensino superior Completo;Ensino superior Completo;1;2019;2021;20
Concludente/Egresso;Mossoró - Diurno;2019.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1501 e 2000 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Ensino médio completo;Ensino fundamental Completo;2;2019;2021;20
Concludente/Egresso;Mossoró - Diurno;2017.1;20211;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Masculino;Negro;Solteiro;Não;Sim;Entre 501 e 1000 reais;Não;Reprovado em duas disciplinas;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Ensino médio completo;Ensino fundamental incompleto;3;2017;2021;40
Concludente/Egresso;Angicos - Diurno;2019.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Pública;Escola Estadual;RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Ensino médio completo;Ensino fundamental Completo;4;2019;2021;20
Concludente/Egresso;Mossoró - Noturno;2013.1;20211;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Casado;Não;Sim;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Ensino médio incompleto;Ensino fundamental incompleto;5;2013;2021;80
Concludente/Egresso;Mossoró - Diurno;2018.1;20211;Não, esse foi o curso que consegui ingressar;Sim;privada;NULO;Privada;NULO;RN;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1501 e 2000 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Ensino superior Completo;Ensino fundamental incompleto;6;2018;2021;30
Concludente/Egresso;Caraúbas - Diurno;2017.1;20211;Não, esse foi o curso que consegui ingressar;Sim;Pública;NULO;Privada;NULO;PB;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Entre 2001 e 2500 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Ensino superior incompleto;Ensino superior incompleto;7;2017;2021;40
Concludente/Egresso;Mossoró - Diurno;2020.1;20211;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Privada;NULO;CE;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Pós-graduação completa;Ensino médio completo;8;2020;2021;10
Concludente/Egresso;Mossoró - Diurno;2018.1;20211;Sim, sempre quis cursar CeT;Não;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 2001 e 2500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Ensino superior Completo;Ensino superior Completo;9;2018;2021;30
Concludente/Egresso;Mossoró - Diurno;2019.2;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Não;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Ensino fundamental incompleto;Ensino fundamental incompleto;10;2019;2021;20
Concludente/Egresso;Angicos - Diurno;2017.2;20211;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Feminino;Branco;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Reprovado em cinco ou mais disciplinas;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Ensino fundamental incompleto;Ensino médio incompleto;11;2017;2021;40
Evadido/Desistente;Mossoró - Diurno;2016.1;20181;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Reprovado em duas disciplinas;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Ensino médio completo;Ensino médio completo;12;2016;2018;20
Evadido/Desistente;Angicos - Diurno;2018.1;20191;Sim, sempre quis cursar CeT;Não;privada;NULO;Privada;NULO;RN;Não;Não;Masculino;Branco;Solteiro;Não;Não;Acima de 3000 reais;Não;Reprovado em uma disciplina;Não;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Pós-graduação completa;Ensino médio completo;13;2018;2019;10
Concludente/Egresso;Angicos - Diurno;2020.1;20211;Sim, sempre quis cursar CeT;Não;privada;NULO;Privada;NULO;RN;Não;Não;Masculino;Branco;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Ensino médio completo;Ensino fundamental incompleto;14;2020;2021;10
Concludente/Egresso;Angicos - Noturno;2015.1;20182;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Privada;NULO;RN;Não;Não;Feminino;Branco;Solteiro;Não;Não;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Pós-graduação completa;Ensino fundamental Completo;15;2015;2018;30
Concludente/Egresso;Pau dos Ferros - Noturno;2021.1;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;CE;Não;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Não;Aprovado em todas as disciplinas;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Ensino médio completo;Ensino fundamental incompleto;16;2021;2021;0
Concludente/Egresso;Angicos - Diurno;2020.1;20212;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Privada;NULO;RN;Sim;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 2001 e 2500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Ensino médio completo;Ensino médio completo;17;2020;2021;10
Evadido/Desistente;Caraúbas - Diurno;2021.1;20211;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Feminino;Amarelo;Solteiro;Não;Não;Menos de 500 reais;Não;Reprovado em uma disciplina;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Ensino fundamental incompleto;Ensino fundamental incompleto;18;2021;2021;0
Concludente/Egresso;Mossoró - Diurno;2015.1;20182;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Privada;NULO;CE;Sim;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 2001 e 2500 reais;Não;Reprovado em uma disciplina;Não;Não;Não;Sim;Não;Sim;Sim;Não;Sim;Ensino superior Completo;Ensino médio completo;19;2015;2018;30
Concludente/Egresso;Mossoró - Noturno;2021.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;CE;Sim;Não;Masculino;Negro;Solteiro;Não;Não;Menos de 500 reais;Não;Reprovado em uma disciplina;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Ensino superior incompleto;Ensino fundamental incompleto;20;2021;2021;0
Concludente/Egresso;Mossoró - Diurno;2021.1;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Ensino médio incompleto;Ensino médio incompleto;21;2021;2021;0
Concludente/Egresso;Pau dos Ferros - Noturno;2021.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Privada;NULO;CE;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Ensino fundamental Completo;Ensino superior Completo;22;2021;2021;0
Concludente/Egresso;Mossoró - Diurno;2020.2;20211;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;RN;Sim;Não;Masculino;Branco;Solteiro;Sim;Não;Acima de 3000 reais;Não;Reprovado em uma disciplina;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Ensino fundamental Completo;Ensino médio completo;23;2020;2021;10
