Per;Knn;NB;DT;RF;MLP;SVM
5,5;5,5;2,5;7;2,5;2,5;2,5
6,5;6,5;3,5;1;3,5;3,5;3,5
6,5;4,5;6,5;2;2;4,5;2
3;6,5;6,5;3;3;3;3
3,5;3,5;7;3,5;3,5;3,5;3,5
3;6,5;6,5;3;3;3;3
6;2,5;6;6;2,5;2,5;2,5
3,5;3,5;7;3,5;3,5;3,5;3,5
6,5;3;6,5;3;3;3;3
6,5;3;6,5;3;3;3;3
4;4;4;4;4;4;4
7;4;1;4;4;4;4
5,5;2,5;2,5;7;2,5;5,5;2,5
3,5;3,5;1;6,5;3,5;6,5;3,5
3,5;3,5;7;3,5;3,5;3,5;3,5
1;6,5;6,5;3,5;3,5;3,5;3,5
3,5;6,5;6,5;1;3,5;3,5;3,5
4,5;4,5;6;7;2;2;2
1,5;5;1,5;5;5;5;5
7;5,5;5,5;2,5;2,5;2,5;2,5
4,5;4,5;1;4,5;4,5;4,5;4,5
4;4;4;4;4;4;4
1;4,5;4,5;4,5;4,5;4,5;4,5
6,5;4,5;6,5;4,5;2;2;2
4;4;4;4;4;4;4
6;3;7;3;3;3;3
1,5;5;1,5;5;5;5;5
4;4;4;4;4;4;4
3,5;7;3,5;3,5;3,5;3,5;3,5
4;7;1;4;4;4;4
