Per;Knn;NB;DT;RF;MLP;SVM
0.9231;0.9231;1;0.7692;1;1;1
0.6923;0.6923;0.7692;0.8462;0.7692;0.7692;0.7692
0.7692;0.8462;0.7692;0.9231;0.9231;0.8462;0.9231
0.8462;0.7692;0.7692;0.8462;0.8462;0.8462;0.8462
0.8462;0.8462;0.7692;0.8462;0.8462;0.8462;0.8462
0.7692;0.6923;0.6923;0.7692;0.7692;0.7692;0.7692
0.8462;0.9231;0.8462;0.8462;0.9231;0.9231;0.9231
1;1;0.9231;1;1;1;1
0.6923;0.7692;0.6923;0.7692;0.7692;0.7692;0.7692
0.8462;0.9231;0.8462;0.9231;0.9231;0.9231;0.9231
0.6923;0.6923;0.6923;0.6923;0.6923;0.6923;0.6923
0.6154;0.6923;0.7692;0.6923;0.6923;0.6923;0.6923
0.8462;0.9231;0.9231;0.6923;0.9231;0.8462;0.9231
0.7692;0.7692;0.8462;0.6923;0.7692;0.6923;0.7692
0.8462;0.8462;0.7692;0.8462;0.8462;0.8462;0.8462
0.9231;0.7692;0.7692;0.8462;0.8462;0.8462;0.8462
0.7692;0.6923;0.6923;0.8462;0.7692;0.7692;0.7692
0.9231;0.9231;0.8462;0.6923;1;1;1
0.8462;0.7692;0.8462;0.7692;0.7692;0.7692;0.7692
0.6923;0.8462;0.8462;0.9231;0.9231;0.9231;0.9231
0.8462;0.8462;0.9231;0.8462;0.8462;0.8462;0.8462
0.7692;0.7692;0.7692;0.7692;0.7692;0.7692;0.7692
1;0.9231;0.9231;0.9231;0.9231;0.9231;0.9231
0.7692;0.8462;0.7692;0.8462;0.9231;0.9231;0.9231
0.9231;0.9231;0.9231;0.9231;0.9231;0.9231;0.9231
0.6154;0.8462;0.5385;0.8462;0.8462;0.8462;0.8462
0.8462;0.7692;0.8462;0.7692;0.7692;0.7692;0.7692
0.8462;0.8462;0.8462;0.8462;0.8462;0.8462;0.8462
0.9231;0.8462;0.9231;0.9231;0.9231;0.9231;0.9231
0.6923;0.6154;0.7692;0.6923;0.6923;0.6923;0.6923
