Per;Knn;NB;DT;RF;MLP;SVM
0.8750;0.9062;0.6875;0.8750;0.8750;0.9062;0.8750
0.7188;0.7188;0.5625;0.7188;0.7500;0.8125;0.7500
0.7812;0.8125;0.5625;0.7500;0.8438;0.8125;0.8438
0.7812;0.8125;0.5312;0.7188;0.7812;0.7812;0.7812
0.7500;0.7500;0.5625;0.7188;0.8438;0.8438;0.8438
0.8438;0.6875;0.6250;0.7500;0.7188;0.7188;0.7188
0.7812;0.8750;0.5938;0.7812;0.8125;0.8438;0.8125
0.8438;0.8125;0.4688;0.8438;0.8125;0.8125;0.8125
0.7500;0.7500;0.5938;0.7812;0.7812;0.6875;0.7812
0.8125;0.8438;0.5312;0.8125;0.8125;0.7812;0.8125
0.7188;0.6875;0.4375;0.7188;0.6875;0.7188;0.6875
0.7812;0.8438;0.8125;0.7812;0.7812;0.7812;0.7812
0.7188;0.6875;0.6250;0.7500;0.7188;0.7188;0.7188
0.9062;0.8438;0.5000;0.8438;0.8438;0.8750;0.8438
0.8125;0.8125;0.7188;0.7188;0.7812;0.8125;0.7812
0.7812;0.7812;0.6875;0.8125;0.7500;0.7500;0.7500
0.8750;0.8438;0.6250;0.7500;0.8438;0.8438;0.8438
0.7500;0.7812;0.7500;0.7812;0.8125;0.8125;0.8125
0.8125;0.8125;0.6562;0.8125;0.7812;0.7500;0.7812
0.7812;0.7812;0.4375;0.8125;0.8125;0.8125;0.8125
0.7500;0.8125;0.5000;0.7188;0.8125;0.8438;0.8125
0.6875;0.8438;0.6562;0.7500;0.8438;0.8125;0.8438
0.8438;0.7812;0.4688;0.7812;0.8438;0.8125;0.8438
0.7812;0.8438;0.6250;0.7500;0.9375;0.8750;0.9375
0.7812;0.7188;0.5938;0.7500;0.6875;0.6875;0.6875
0.8750;0.7812;0.6562;0.8438;0.8438;0.8750;0.8438
0.7812;0.7500;0.7188;0.7812;0.7812;0.7812;0.7812
0.8750;0.7812;0.5938;0.8750;0.8750;0.9062;0.8750
0.7188;0.7812;0.5938;0.6875;0.7188;0.7188;0.7188
0.7812;0.6875;0.6875;0.7500;0.8125;0.8438;0.8125
