"Carimbo de data/hora","Qual a sua situação atual em relação ao curso ?","Qual a sua Universidade","Qual o estado onde se localiza sua universidade","Qual o curso que você ingressou?","Em qual  turno você  estava matriculado?","Em qual ano e semestre você ingressou no curso? Exemplo 2010.1","Em qual semestre você concluiu ou desistiu do curso? Exemplo 2015.2","Em relação ao seu aproveitamento acadêmico, até o segundo semestre do curso você foi?","Com relação ao ingresso na universidade a qual se matriculou, esta sempre foi a sua primeira opção de Universidade?","Com relação ao ingresso no curso, este sempre foi a sua primeira opção de curso?","Antes de ingressar no curso, você já possuía algum conhecimento prévio na área?","Antes de ingressar na universidade, em que tipo de escola você cursou o ensino médio?","Caso tenha cursado o ensino médio em escola pública, qual foi o tipo de instituição?","Antes de ingressar no ensino médio, em que tipo de escola você cursou o ensino fundamental?","Caso tenha cursado o ensino fundamental em escola pública, qual foi o tipo de instituição?","Antes de ingressar na universidade, você morava na mesma cidade onde se localiza o curso ao qual se matriculou?","Ao ingressar na universidade você se mudou para morar na mesma cidade do campus que se matriculou?","Você chegou a morar em vila acadêmica?","Qual seu gênero?","A qual raça você se considera pertencer?","Quando estava matriculado na universidade, qual era o seu Estado Civil?","Quando ingressou na universidade, qual era o sua idade?","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Quando estava na universidade, você tinha filhos?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Quando estava na universidade, você  trabalhava?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você foi contemplado alguma bolsa durante o período que esteve no curso?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que, durante o período que esteve no curso, teve o devido acompanhamento da universidade? Exemplo: PROAE ou Coordenação do curso.]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que a grade curricular do seu curso é adequada ao que se exige no mercado de trabalho?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação à cadeia de pré-requisitos das disciplinas do curso, você considera adequada?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação aos critérios de avaliação do desempenho do aluno, você considera adequado?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação à infraestrutura da instituição como laboratórios, bibliotecas, equipamentos de informática e etc, você considera adequada?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação aos professores, você considera que os mesmos apresentam deficiências pedagógicas, desinteresse ou outros problemas?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que as carreiras relacionadas ao curso são socialmente reconhecidas?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação ao mercado, você considera que o profissional formado no curso que você escolheu, é pago adequadamente?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Durante o período em que você estava na universidade, seus pais eram casados?]","Ao ingressar na universidade, qual era a renda mensal da sua família?","Em relação à sua mãe, qual o nível de escolaridade dela?","Em relação ao seu pai, qual o nível de escolaridade dele?"
"2022/04/12 10:09:09 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2016.1","2022.1","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Escola Estadual","Upanema","Não","Não","Masculino","Pardo","Solteiro","18 anos","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino médio completo","Ensino superior Completo"
"2022/04/12 10:48:13 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2016.1","2021.2","Reprovado em três disciplinas","Não, a UFERSA foi a única Universidade que consegui ingressar","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró/RN","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim","Entre 2001 e 2500 reais","Ensino superior Completo","Ensino médio completo"
"2022/04/12 12:31:56 PM GMT-3","Concludente","","","Engenharia Agrícola e Ambiental","Diurno","2019.1","Estou cursando","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Sim, curso técnico ou curso de formação","Pública","Instituto Federal","Pública","Municipal","Lahes/rn","Não","Não","Masculino","Negro","Solteiro","Entre 20 e 25 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Sim","Entre 501 e 1000 reais","Ensino primário incompleto","Ensino primário incompleto"
"2022/04/12 4:07:56 PM GMT-3","Concludente","","","Engenharia Agrícola e Ambiental","Diurno","2021.2","Estou cursando.","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Sim, já trabalhava na área a qual estudei","Pública","Escola Estadual","Pública","Escola Estadual","São Rafael-RN","Sim","Não","Masculino","Pardo","Solteiro","18 anos","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Não","Menos de 500 reais","Ensino médio completo","Ensino primário incompleto"
"2022/04/12 5:06:08 PM GMT-3","Evadido/Desistente","","","Engenharia Agrícola e Ambiental","Diurno","2019.1","2021.2","Reprovado em cinco ou mais disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Fortaleza-Ceará","Sim","Não","Masculino","Pardo","Solteiro","17 anos","Não","Não","Sim","Não","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Entre 1501 e 2000 reais","Ensino médio completo","Ensino médio completo"
"2022/04/12 8:04:47 PM GMT-3","Concludente","","","Engenharia Agrícola e Ambiental","Diurno","2015.2","2021.1","Reprovado em duas disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Limoeiro do Norte/CE ","Sim","Sim","Feminino","Branco","Solteiro","17 anos","Não","Não","Sim","Sim","Não","Não","Sim","Não","Sim","Não","Não","Não","Entre 501 e 1000 reais","Ensino médio completo","Ensino fundamental incompleto"
"2022/04/21 5:57:12 PM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2016.1","2017.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Areia branca","Não","Não","Masculino","Pardo","Solteiro","19 anos","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Acima de 3000 reais","Ensino superior Completo","Ensino superior Completo"
"2022/04/21 5:59:45 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2009.2","2013.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Grossos","Sim","Sim","Feminino","Branco","Solteiro","Entre 20 e 25 anos","Não","Não","Não","Sim","Não","Não","Não","Não","Sim","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino médio completo"
"2022/04/21 6:40:49 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2014.1","2019.1","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Jaguaruana/CE","Sim","Não","Masculino","Branco","Solteiro","18 anos","Não","Não","Sim","Sim","Não","Não","Não","Não","Sim","Não","Não","Sim","Entre 1501 e 2000 reais","Ensino médio completo","Ensino fundamental incompleto"
"2022/04/22 11:59:24 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2017.1","2021.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Instituto Federal","Privada","","Mossoró/RN","Não","Não","Masculino","Negro","Solteiro","18 anos","Não","Não","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino médio incompleto"
