var_0;var_1;var_2;var_3;var_4;var_5;var_9;var_11;var_14;var_16;var_23;var_30;var_31;var_18;var_19;var_20
0;4;21;23;1;1;4;2;3;0;1;5;5;4;0;0
0;4;21;23;1;1;0;2;3;0;1;2;0;2;1;0
0;4;17;22;0;1;0;2;2;0;0;2;1;5;0;2
0;0;21;23;1;1;0;2;3;0;0;2;0;1;1;0
0;5;9;22;1;1;0;0;3;0;1;3;1;1;1;0
0;4;19;22;0;1;4;1;1;0;1;5;1;2;1;0
0;2;17;22;0;1;4;2;1;0;0;6;6;3;0;1
0;4;23;22;0;1;4;2;3;0;0;7;2;5;1;0
0;4;19;22;1;0;4;0;1;0;0;5;5;3;0;0
0;4;22;23;1;1;0;1;3;0;1;1;1;1;0;0
0;0;18;22;0;0;0;2;1;0;0;1;3;2;0;1
1;4;15;16;1;1;4;0;1;0;0;2;2;2;0;2
1;0;19;18;1;0;4;1;1;0;1;7;2;0;0;4
0;0;23;22;1;0;4;1;1;0;1;2;1;2;0;0
0;1;13;17;0;0;4;1;1;0;1;7;0;0;0;0
0;7;25;23;0;0;3;1;3;0;1;2;1;5;0;0
0;0;23;23;0;0;4;2;3;0;1;2;2;3;0;0
1;2;25;22;0;1;0;2;0;0;1;1;1;6;0;4
0;4;13;17;1;1;4;2;1;0;0;5;2;3;0;4
0;5;25;23;1;1;3;2;2;0;1;6;1;6;0;4
0;4;25;23;0;0;0;0;3;0;1;3;3;1;1;0
0;7;25;23;1;1;4;2;1;0;1;0;5;0;0;0
0;4;24;22;1;1;4;2;1;1;1;0;2;0;0;4
0;1;19;22;1;1;0;2;3;1;1;2;2;5;0;0
0;1;23;22;1;1;4;2;1;0;1;7;6;5;1;0
0;4;13;15;1;1;3;1;3;0;0;5;1;3;1;0
0;5;16;22;1;0;3;0;1;0;0;2;2;2;0;0
0;3;11;22;1;1;0;1;3;1;1;7;1;1;0;1
0;5;13;17;1;1;3;1;2;0;1;1;2;4;0;0
0;4;9;15;0;0;4;1;1;0;1;2;2;6;1;4
0;4;1;4;1;1;4;0;4;0;0;5;6;3;1;0
0;5;17;20;1;0;3;2;2;0;1;1;2;4;1;0
0;4;12;16;0;1;0;2;3;0;1;3;1;1;1;2
0;4;19;23;1;0;3;0;1;0;0;2;2;1;1;0
1;4;4;4;1;0;0;2;1;0;0;2;0;5;1;1
0;7;16;22;1;0;3;1;2;0;0;2;2;1;1;4
0;4;21;23;0;1;3;2;1;0;1;3;1;6;1;0
0;0;13;17;1;0;3;1;3;0;1;4;4;5;1;4
0;2;25;23;0;0;0;2;3;0;1;1;1;5;1;4
0;4;25;24;0;1;0;0;3;0;1;1;1;1;0;0
0;7;14;17;1;0;3;1;1;0;0;1;4;6;1;2
1;5;23;21;1;1;0;0;1;1;1;2;5;1;0;1
1;3;4;3;0;0;4;2;1;0;0;7;7;2;0;4
1;6;14;12;0;1;4;2;1;0;1;2;5;0;1;4
0;7;18;23;0;0;3;1;3;0;0;1;5;1;1;3
0;5;15;22;0;0;3;1;1;0;1;0;0;1;0;2
0;4;22;23;1;1;0;0;3;0;1;2;2;1;1;4
0;2;20;23;0;0;3;2;3;0;0;1;1;6;1;0
0;0;24;23;1;0;4;1;3;0;1;2;6;1;1;0
0;4;20;24;1;0;3;2;3;0;1;3;1;1;1;2
0;2;25;23;1;1;0;2;1;0;1;7;7;5;1;0
1;2;25;22;0;1;0;1;1;0;1;4;2;1;0;1
0;7;17;23;0;1;4;0;3;0;1;5;0;2;0;4
1;2;25;22;0;0;3;0;2;0;0;1;1;1;1;2
