var_0;var_1;var_2;var_3;var_4;var_5;var_9;var_11;var_14;var_16;var_23;var_30;var_31;var_18;var_19;var_20
0;4;15;24;1;0;0;1;3;0;0;2;5;0;0;4
0;4;15;23;0;0;4;0;1;0;1;5;2;3;0;5
1;4;21;23;0;0;4;2;3;0;1;2;2;2;1;1
0;4;14;22;1;0;4;2;1;0;0;2;1;5;1;2
1;4;15;14;0;0;4;1;3;0;1;5;5;0;1;0
0;4;2;6;0;0;4;2;1;0;0;5;2;4;0;0
0;4;11;18;0;0;4;2;1;0;0;2;1;2;1;2
0;4;17;22;1;0;4;1;2;0;0;5;3;4;1;0
0;4;2;6;1;0;4;2;1;0;1;5;5;0;1;0
0;4;2;6;0;0;3;2;1;0;1;4;4;1;1;0
1;4;13;18;1;0;4;0;2;0;1;2;2;0;1;0
1;4;4;10;1;0;4;2;1;0;1;7;5;4;0;4
0;4;4;8;0;0;4;0;1;0;0;3;1;2;1;0
0;4;12;19;1;0;4;2;1;0;1;2;2;4;1;0
0;4;4;9;0;0;4;2;3;0;1;2;2;4;1;0
0;4;7;12;0;0;0;2;2;0;0;2;5;4;1;0
0;4;3;9;0;0;4;2;3;0;0;5;0;1;1;1
0;4;6;13;1;0;4;2;1;0;0;2;0;2;1;4
0;4;2;6;1;0;4;2;1;0;1;2;0;0;1;0
0;4;6;12;0;0;4;2;1;0;1;2;1;4;1;5
0;4;4;9;0;0;3;0;1;0;1;2;2;1;1;4
0;4;17;22;1;0;4;1;1;0;0;7;2;0;1;0
1;4;13;18;1;0;4;0;2;0;0;2;0;2;1;0
0;4;13;19;1;0;4;0;1;0;0;5;7;0;1;0
0;4;2;6;1;0;4;1;3;0;1;3;1;0;1;4
0;4;13;17;0;0;0;0;3;0;0;2;2;4;1;0
0;4;8;12;0;0;4;2;1;0;1;2;2;5;1;0
0;4;5;9;1;0;0;2;1;0;1;2;1;1;1;0
0;4;24;12;1;0;4;0;2;0;0;3;6;0;1;0
0;4;7;12;1;0;3;2;4;0;0;2;0;2;1;0
1;4;4;2;0;0;4;0;1;0;1;2;6;0;0;0
0;4;10;17;1;0;3;2;3;0;1;1;4;3;0;0
0;4;5;9;1;0;4;2;3;0;0;2;0;1;1;0
0;4;5;9;1;0;4;2;3;0;1;5;2;5;1;0
0;4;14;17;1;0;4;0;1;0;0;5;5;0;1;0
0;4;4;9;0;0;1;0;1;0;1;1;2;4;0;0
0;4;7;13;0;0;4;2;1;0;0;2;1;0;1;2
0;4;5;13;1;0;4;2;3;0;1;3;1;4;1;0
0;4;6;10;1;0;0;0;3;0;1;1;2;2;1;0
0;4;4;13;0;0;4;0;3;0;1;5;5;2;1;0
0;4;2;9;0;0;4;0;3;0;1;5;1;0;1;2
0;4;9;14;1;0;4;1;1;0;0;5;5;3;1;0
0;4;4;13;0;0;4;2;3;0;0;4;1;1;1;2
1;4;21;19;1;0;3;2;1;0;1;3;1;5;0;0
0;4;5;12;1;0;4;0;1;0;0;7;6;4;0;0
0;4;5;9;1;0;4;0;1;0;1;7;5;0;0;0
0;4;10;15;1;0;0;1;1;0;0;0;1;5;1;0
1;4;23;24;0;0;4;0;2;0;1;2;0;3;0;0
1;4;21;23;0;0;4;2;3;0;1;2;2;4;1;3
0;4;5;12;1;0;0;2;3;0;1;5;2;2;1;2
1;4;12;12;0;0;4;0;1;0;0;5;2;4;0;4
0;4;8;13;1;0;4;0;1;0;1;7;5;0;1;0
0;4;9;14;1;0;4;2;3;0;1;2;2;0;1;4
0;4;3;8;0;0;4;2;0;0;1;5;2;4;1;0
0;4;8;13;1;0;4;2;1;0;1;6;2;4;0;0
1;4;2;5;1;0;4;0;2;0;1;7;6;0;0;2
